02:06:41 680	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:06:41 723	Layer<2-3-3-1>:准备IDB成功
02:06:41 738	Layer<2-3-3-1>:下载IDB开始
02:06:41 776	Layer<2-3-3-1>:下载IDB成功
02:06:41 789	Layer<2-3-3-1>:下载固件开始
02:06:41 801	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:06:41 813	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:06:41 826	<LAYER 2-3-3-1> INFO:Start download image,total=2728988160,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:06:41 849	<LAYER 2-3-3-1> INFO:Start to download trust,offset=0x6000,size=4194304
02:06:42 094	<LAYER 2-3-3-1> INFO:Start to download uboot,offset=0x4000,size=4194304
02:06:42 327	<LAYER 2-3-3-1> INFO:Start to download boot,offset=0xa000,size=22562816
02:06:43 560	<LAYER 2-3-3-1> INFO:Start to download rootfs:grow,offset=0x5a000,size=2698002432
02:09:06 202	Layer<2-3-3-1>:下载固件成功
02:09:23 043	Layer<2-3-3-1>:测试设备开始
02:09:23 056	Layer<2-3-3-1>:测试设备成功
02:09:23 069	Layer<2-3-3-1>:校验芯片开始
02:09:23 083	Layer<2-3-3-1>:校验芯片成功
02:09:23 095	Layer<2-3-3-1>:获取FlashInfo开始
02:09:23 107	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:09:23 118	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:09:23 131	Layer<2-3-3-1>:获取FlashInfo成功
02:09:23 144	Layer<2-3-3-1>:准备IDB开始
02:09:23 155	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:09:23 183	Layer<2-3-3-1>:准备IDB成功
02:09:23 196	Layer<2-3-3-1>:下载IDB开始
02:09:23 392	Layer<2-3-3-1>:下载IDB成功
02:09:23 407	Layer<2-3-3-1>:下载固件开始
02:09:23 419	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:09:23 431	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:09:23 449	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:09:23 461	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, trust was overlapped
02:09:23 471	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:09:23 485	Error:Layer<2-3-3-1>:下载固件失败
02:10:58 722	Layer<2-3-3-1>:测试设备开始
02:10:58 735	Layer<2-3-3-1>:测试设备成功
02:10:58 748	Layer<2-3-3-1>:校验芯片开始
02:10:58 761	Layer<2-3-3-1>:校验芯片成功
02:10:58 774	Layer<2-3-3-1>:获取FlashInfo开始
02:10:58 786	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:10:58 797	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:10:58 810	Layer<2-3-3-1>:获取FlashInfo成功
02:10:58 824	Layer<2-3-3-1>:准备IDB开始
02:10:58 836	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:10:58 866	Layer<2-3-3-1>:准备IDB成功
02:10:58 879	Layer<2-3-3-1>:下载IDB开始
02:10:58 922	Layer<2-3-3-1>:下载IDB成功
02:10:58 936	Layer<2-3-3-1>:下载固件开始
02:10:58 947	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:10:58 959	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:10:58 975	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:10:58 986	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, boot was overlapped
02:10:58 997	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:10:59 010	Error:Layer<2-3-3-1>:下载固件失败
02:12:21 167	Layer<2-3-3-1>:测试设备开始
02:12:21 181	Layer<2-3-3-1>:测试设备成功
02:12:21 194	Layer<2-3-3-1>:校验芯片开始
02:12:21 208	Layer<2-3-3-1>:校验芯片成功
02:12:21 221	Layer<2-3-3-1>:获取FlashInfo开始
02:12:21 233	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:12:21 245	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:12:21 258	Layer<2-3-3-1>:获取FlashInfo成功
02:12:21 271	Layer<2-3-3-1>:准备IDB开始
02:12:21 283	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:12:21 311	Layer<2-3-3-1>:准备IDB成功
02:12:21 325	Layer<2-3-3-1>:下载IDB开始
02:12:21 368	Layer<2-3-3-1>:下载IDB成功
02:12:21 382	Layer<2-3-3-1>:下载固件开始
02:12:21 394	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:12:21 406	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:12:21 421	<LAYER 2-3-3-1> INFO:Start download image,total=1082164736,band=64,DirectLBA=1,First4Access=1,Gpt=1
02:12:21 433	<LAYER 2-3-3-1> ERROR:RKA_Gpt_Download->Fail to check parameter, boot was overlapped
02:12:21 444	<LAYER 2-3-3-1> ERROR:DownloadImage-->RKA_Gpt_Download failed
02:12:21 458	Error:Layer<2-3-3-1>:下载固件失败
02:15:39 693	Layer<2-3-3-1>:测试设备开始
02:15:39 696	Layer<2-3-3-1>:测试设备成功
02:15:39 711	Layer<2-3-3-1>:校验芯片开始
02:15:39 726	Layer<2-3-3-1>:校验芯片成功
02:15:39 741	Layer<2-3-3-1>:获取FlashInfo开始
02:15:39 757	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
02:15:39 771	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
02:15:39 786	Layer<2-3-3-1>:获取FlashInfo成功
02:15:39 802	Layer<2-3-3-1>:准备IDB开始
02:15:39 816	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
02:15:39 844	Layer<2-3-3-1>:准备IDB成功
02:15:39 859	Layer<2-3-3-1>:下载IDB开始
02:15:39 903	Layer<2-3-3-1>:下载IDB成功
